,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,Symbol,Name,Stock Sector,Industry Name,Market Cap (m),Dividend Yield (%),Last (Close),Unnamed: 7
32,P/E,473.18,11.32,27.02,64.07,16.49,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
33,P/BV,1.43,1.40,0.96,0.97,1.08,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
34,Book Value per share (Baht),7.98,8.60,8.48,8.49,9.00,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
35,Dvd. Yield(%),0.04,1.67,8.10,0.36,3.08,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
36,Assets,11113.33,14720.51,17891.21,21245.91,,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
37,Liabilities,4877.20,7537.75,9944.58,13766.33,,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
38,Equity,6045.96,6969.95,7689.85,7227.95,,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
39,Paid-up Capital,322.58,322.58,322.58,322.58,,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
40,Revenue,15364.23,17130.08,17844.26,19428.54,,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
41,Net Profit,543.09,1157.61,1299.16,-181.11,,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
42,EPS (Baht),1.70,3.66,4.10,-0.57,,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
43,ROA(%),6.43,10.54,9.26,1.80,,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
44,ROE(%),9.17,17.79,17.72,-2.43,,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
45,Net Profit Margin(%),3.53,6.76,7.28,-0.93,,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
46,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
47,Last Price(Baht),16.00,34.50,19.00,14.80,8.70,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
48,Market Cap.,5161.34,11129.14,6129.09,4774.24,2806.48,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
49,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
50,P/E,10.58,11.81,4.36,5.58,,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
51,P/BV,0.86,1.66,0.82,0.59,0.39,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
52,Book Value per share (Baht),18.67,20.82,23.24,25.26,22.41,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
53,Dvd. Yield(%),1.91,1.92,6.32,8.62,4.06,AH,Aapico Hitech PCL,Consumer Cyclical,Auto Parts,4516.174,6.86,14,THB
54,Assets,1252.37,1345.45,1411.82,1684.55,,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
55,Liabilities,486.11,500.23,599.56,826.14,,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
56,Equity,766.26,845.22,812.25,858.41,,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
57,Paid-up Capital,235.00,235.00,235.00,235.00,,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
58,Revenue,648.31,667.18,822.26,1246.00,,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
59,Net Profit,146.41,99.48,-16.02,57.62,,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
60,EPS (Baht),0.62,0.42,-0.07,0.25,,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
61,ROA(%),14.28,9.37,0.98,6.79,,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
62,ROE(%),20.94,12.35,-1.93,6.90,,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
63,Net Profit Margin(%),22.58,14.91,-1.95,4.62,,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
64,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
65,Last Price(Baht),13.90,9.45,4.20,4.04,3.28,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
66,Market Cap.,3266.50,2220.75,987.00,949.40,770.80,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
67,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
68,P/E,22.59,18.73,24.40,,13.38,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
69,P/BV,4.44,2.67,1.20,1.15,0.90,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
70,Book Value per share (Baht),3.13,3.54,3.51,3.53,3.65,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
71,Dvd. Yield(%),0.36,0.79,1.79,,,ABICO,Abico Holdings PCL,Consumer Defensive,Beverages - Non-Alcoholic,949.4,-,4.04,THB
72,Assets,1789.65,1633.96,1286.16,1090.14,,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
73,Liabilities,986.95,880.07,486.83,348.20,,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
74,Equity,770.43,717.67,762.82,706.65,,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
75,Paid-up Capital,300.00,300.00,335.76,335.76,,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
76,Revenue,196.07,316.16,410.34,300.96,,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
77,Net Profit,-22.52,-52.76,-39.27,-56.86,,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
78,EPS (Baht),-0.02,-0.04,-0.03,-0.04,,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
79,ROA(%),2.94,0.79,0.32,-1.68,,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
80,ROE(%),-2.88,-7.09,-5.30,-7.74,,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
81,Net Profit Margin(%),-11.48,-16.69,-9.57,-18.89,,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
82,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
83,Last Price(Baht),0.69,0.52,0.51,0.67,0.59,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
84,Market Cap.,828.00,624.00,684.96,899.85,792.40,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
85,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
86,P/E,181.00,,9.71,,,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
87,P/BV,1.04,0.83,0.76,1.28,1.12,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
88,Book Value per share (Baht),0.66,0.62,0.67,0.52,0.53,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
89,Dvd. Yield(%),,,,,,ACC,Advanced Connection Corp PCL,Industrials,Conglomerates,899.847,-,0.67,THB
90,Assets,275670.35,284067.35,290504.99,289669.12,374715.39,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
91,Liabilities,232962.02,233640.57,232836.40,220274.95,309943.68,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
92,Equity,42568.88,50320.35,57521.04,69266.10,64643.30,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
93,Paid-up Capital,2973.10,2973.10,2973.10,2973.18,2973.18,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
94,Revenue,152717.99,158477.17,170835.31,181654.32,43560.04,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
95,Net Profit,30666.54,30077.31,29682.18,31189.57,6756.19,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
96,EPS (Baht),10.31,10.12,9.98,10.49,2.27,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
97,ROA(%),17.53,14.73,14.20,14.54,12.34,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
98,ROE(%),67.44,64.76,55.05,49.20,50.09,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
99,Net Profit Margin(%),20.08,18.98,17.37,17.17,15.51,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
100,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
101,Last Price(Baht),147.00,191.00,172.50,213.00,190.50,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
102,Market Cap.,437045.01,567861.21,512858.94,633287.05,566390.53,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
103,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/03/2020,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
104,P/E,12.49,19.69,16.79,20.45,18.65,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
105,P/BV,12.11,13.59,10.12,10.22,8.76,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
106,Book Value per share (Baht),12.14,14.06,17.04,20.84,21.74,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
107,Dvd. Yield(%),8.84,5.28,4.10,3.32,3.85,ADVANC,Advanced Info Service PCL,Communication Services,Telecom Services,636222.0,3.31,214,THB
108,Assets,4511.80,5024.94,4272.79,5728.61,6698.05,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
109,Liabilities,1627.80,2153.41,1528.12,2842.74,3766.95,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
110,Equity,2884.00,2871.54,2744.66,2885.88,2931.10,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
111,Paid-up Capital,1031.60,1031.60,1031.60,1031.60,1031.60,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
112,Revenue,4419.08,5397.17,4237.63,7076.68,1231.56,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
113,Net Profit,429.39,431.13,236.83,392.09,59.71,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
114,EPS (Baht),2.08,2.09,1.15,1.90,0.29,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
115,ROA(%),12.01,11.70,6.70,10.31,7.72,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
116,ROE(%),14.94,14.98,8.43,13.93,12.15,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
117,Net Profit Margin(%),9.72,7.99,5.59,5.54,4.85,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
118,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
119,Last Price(Baht),24.70,30.25,19.70,18.50,17.40,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
120,Market Cap.,5096.13,6241.21,4064.52,3816.94,3589.98,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
121,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
122,P/E,11.71,13.20,15.03,12.95,10.29*,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
123,P/BV,1.84,2.23,1.50,1.38,1.24,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
124,Book Value per share (Baht),13.42,13.58,13.09,13.38,13.99,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
125,Dvd. Yield(%),8.30,6.61,10.41,5.41,10.92,AIT,Advanced Information Technology PCL,Technology,Information Technology Services,3775.672,6.01,18.3,THB
126,Assets,-,-,2072.19,1316.99,,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
127,Liabilities,-,-,1134.90,533.17,,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
128,Equity,-,-,937.29,813.98,,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
129,Paid-up Capital,-,-,1224.25,1224.25,,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
130,Revenue,821.59,729.82,655.24,256.82,,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
131,Net Profit,-24.88,-76.90,-85.95,-237.87,,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
132,EPS (Baht),-0.02,-0.06,-0.07,-0.19,,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
133,ROA(%),N.A.,N.A.,-4.19,-15.81,,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
134,ROE(%),N.A.,N.A.,-9.17,-27.17,,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
135,Net Profit Margin(%),-3.03,-10.54,-13.12,-92.62,,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
136,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
137,Last Price(Baht),0.57,0.58,0.49,0.33,0.21,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
138,Market Cap.,697.82,710.06,599.88,404.00,257.09,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
139,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
140,P/E,,,,,,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
141,P/BV,0.63,0.64,0.60,0.51,0.32,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
142,Book Value per share (Baht),0.91,0.90,0.81,0.65,0.66,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
143,Dvd. Yield(%),,,,,,AEC,AEC Securities PCL,Financial Services,Capital Markets,428.487,-,0.35,THB
144,Assets,72451.17,72638.32,80771.40,87121.54,95395.61,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
145,Liabilities,60194.50,58865.44,64949.60,68733.17,74270.46,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
146,Equity,12172.81,13696.68,15736.63,18053.93,20727.98,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
147,Paid-up Capital,250.00,250.00,250.00,250.00,250.00,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
148,Revenue,16923.82,17292.15,18059.81,19877.89,22262.60,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
149,Net Profit,2541.86,2403.46,2966.33,3506.49,3975.36,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
150,EPS (Baht),10.18,9.61,11.87,14.03,15.90,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
151,ROA(%),4.42,4.15,4.84,5.28,5.64,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
152,ROE(%),20.88,18.58,20.16,20.75,20.50,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
153,Net Profit Margin(%),15.02,13.90,16.43,17.64,17.86,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
154,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
155,Last Price(Baht),103.50,103.50,182.00,191.00,129.50,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
156,Market Cap.,25875.00,25875.00,45500.00,47750.00,32375.00,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
157,F/S Period (As of date),31/08/2016,31/08/2017,31/08/2018,31/08/2019,29/02/2020,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
158,P/E,11.90,9.93,13.12,13.10,8.14,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
159,P/BV,2.02,1.79,2.68,2.47,1.56,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
160,Book Value per share (Baht),51.19,57.88,67.87,77.42,82.91,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
161,Dvd. Yield(%),3.33,3.33,2.12,2.46,3.86,AEONTS,Aeon Thana Sinsap (Thailand) PCL,Financial Services,Credit Services,47375.0,2.53,189.5,THB
162,Assets,981.93,1033.81,1097.42,1200.23,1529.02,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
163,Liabilities,173.10,101.51,140.32,161.63,718.78,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
164,Equity,808.83,932.30,957.10,1038.59,810.24,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
165,Paid-up Capital,72.50,81.56,81.56,81.56,81.56,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
166,Revenue,608.39,735.38,880.73,1205.25,220.02,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
167,Net Profit,98.77,128.90,147.43,237.08,13.30,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
168,EPS (Baht),0.18,0.16,0.18,0.29,0.02,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
169,ROA(%),19.01,15.62,16.92,25.54,17.70,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
170,ROE(%),21.34,14.81,15.61,23.76,20.88,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
171,Net Profit Margin(%),16.23,17.53,16.74,19.67,6.04,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
172,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
173,Last Price(Baht),12.30,12.20,6.00,10.00,8.50,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
174,Market Cap.,8917.50,9950.61,4893.74,8156.24,6932.80,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
175,F/S Period (As of date),,30/09/2017,30/09/2018,30/09/2019,31/12/2019,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
176,P/E,93.56,83.82,36.92,34.52,36.35*,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
177,P/BV,-,11.08,5.39,8.24,6.68,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
178,Book Value per share (Baht),N.A.,1.10,1.11,1.21,1.27,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
179,Dvd. Yield(%),,0.05,2.50,1.90,3.41,AU,After You PCL,Consumer Cyclical,Restaurants,7911.562,1.96,9.7,THB
180,Assets,1619.65,1642.39,1813.45,1798.74,,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
181,Liabilities,137.57,113.75,161.05,120.00,,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
